1,Endereço 2,Endereço 1,Contato 2,Contato 1,Avaliação,Nome,Ranking,6,7
,"R. Mossoró, 431 - Centro, Londrina - PR, 86020-290","MRVJ+8V Centro, Londrina - PR",negocio.site,(43) 3024-4508,(14),Viva Cor Tintas Londrina,"4,7",,
,"R. Minas Gerais, 194 - sala 207 - Centro, Londrina - PR, 86010-170","MRRR+3W Centro, Londrina - PR",bit.ly,(43) 3323-0693,(14),Londokap sua Kapazi em Londrina,"4,7",,
,"Av. Santos Dumont, 1460 - Bairro Aeroporto, Londrina - PR, 86039-090","MVG5+3F Bairro Aeroporto, Londrina - PR",(43) 3025-4445,Adicionar website,(13),PisoFácil (Store) (Pisos e Revestimentos),"4,4",,
,"Avenida Fernando Cerqueira César Coimbra, 830 Parque - Industrial, Londrina - PR","PQ7Q+HR Industrial, Londrina - PR",todimo.com.br,(43) 3376-5500,(127),Todimo Centro de Distribuição,"4,1",Reivindicar esta empresa,
,"Rod. Mabio Gonçalves Palhano, 955 - Gleba Fazenda Palhano, Londrina - PR, 86055-585","MR36+VC Gleba Fazenda Palhano, Londrina - PR",(43) 3028-2222,Reivindicar esta empresa,(12),Gol Materiais Para Construção,"4,7",Adicionar horário,Adicionar website
,"R. Madressilva, 461 - Parque das Industrias, Londrina - PR, 86042-270","JVH6+V6 Parque das Industrias - Quilometro Nove, Londrina - PR",(43) 3342-7005,Adicionar website,(12),Depósito Itasa Materiais para Construção,"4,3",,
,"Av. das Maritacas, 1950 - Indusville, Londrina - PR, 86031-070","PV7H+QQ Indusville, Londrina - PR",(43) 3329-1163,Reivindicar esta empresa,(12),Depósito Maritacas,"4,8",Adicionar website,
,"R. Mitomu Simamura, 426 - N Amparo, Londrina - PR, 86043-030","JVM8+27 Parque das Industrias - Quilometro Nove, Londrina - PR",(43) 3341-1174,Reivindicar esta empresa,(12),Depósito Montimó,"4,8",Adicionar website,
,"Av. Duque de Caxias, 3270 - Centro, Londrina - PR, 86025-140","MRPV+HX Centro, Londrina - PR",(43) 3357-0405,Adicionar website,(12),Londrina Motosserras,5,,
,"Av. Francisco Gabriel Arruda, 1158 - Cj - Parigot De Souza, Londrina - PR, 86081-000","PRPF+4W Parigot De Souza, Londrina - PR",casagrandedeposito.com.br,(43) 3347-1000,(118),Depósito Casa Grande - Materiais para Construção,"4,5",,
,"Rod. Celso Garcia Cid, 3050 - Jardim Novo Bandeirantes, Londrina - PR, 86188-000","MQRH+QG Jardim Silvino, Cambé - PR",montten.com.br,(43) 3251-4242,(118),Depósito Montten,"4,3",,
,"Av. Jamil Scaff, 850 - Conjunto Habitacional Alexandr, Londrina - PR, 86037-000","MVHR+52 Lon Rita, Londrina - PR",(43) 3337-6559,Reivindicar esta empresa,(117),Depósito Montimó IV,"4,6",Adicionar website,
